"Thank you Indiana, I love you!",Positive
https://t.co/To6s9ViMj1,Neutral
Throwback Thursday!,no detectable 
#MAGA https://t.co/8slzITa1l6,Neutral
Kevin Stitt ran a great winning campaign against a very tough opponent in Oklahoma.,no detectable 
Kevin is a very successful businessman who will be a fantastic Governor.,Positive
"He is strong on Crime &amp; Borders, the 2nd Amendment, &amp; loves our Military &amp; Vets.",Positive
He has my complete and total Endorsement!,no detectable 
CNN is working frantically to find their source.,Neutral
Look hard because it doesnt exist.,Negative
Whatever was left of CNNs credibility is now gone!,Negative
"Will be going to Evansville, Indiana, tonight for a big crowd rally with Mike Braun, a very successful businessman who is campaigning to be Indianas next U.S. Senator.",no detectable 
"He is strong on Crime &amp; Borders, the 2nd Amendment, and loves our Military &amp; Vets.",Positive
Will be a big night!,no detectable 
I am very excited about the person who will be taking the place of Don McGahn as White House Counsel!,no detectable 
"I liked Don, but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions.",Negative
So much Fake Reporting and Fake News!,Negative
"The Rigged Russia Witch Hunt did not come into play, even a little bit, with respect to my decision on Don McGahn!",Negative
"Wow, Nellie Ohr, Bruce Ohrs wife, is a Russia expert who is fluent in Russian.",Positive
She worked for Fusion GPS where she was paid a lot.,Neutral
Collusion!,no detectable 
"Bruce was a boss at the Department of Justice and is, unbelievably, still there!",no detectable 
The only thing James Comey ever got right was when he said that President Trump was not under investigation!,no detectable 
"Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called pushing out of Don McGahn.The Fake News Media has it, purposely,so wrong!",Negative
They love to portray chaos in the White House when they know that chaos doesnt exist-just a smooth running machine with changing parts!,Positive
The news from the Financial Markets is even better than anticipated.,Positive
"For all of you that have made a fortune in the markets, or seen your 401ks rise beyond your wildest expectations, more good news is coming!",Positive
I just cannot state strongly enough how totally dishonest much of the Media is.,Negative
"Truth doesnt matter to them, they only have their hatred &amp; agenda.",Negative
"This includes fake books, which come out about me all the time, always anonymous sources, and are pure fiction.",Negative
Enemy of the People!,Neutral
"Whats going on at @CNN is happening, to different degrees, at other networks - with @NBCNews being the worst.",Negative
"The good news is that Andy Lack(y) is about to be fired(?) for incompetence, and much worse.",Negative
"When Lester Holt got caught fudging my tape on Russia, they were hurt badly!",Negative
The hatred and extreme bias of me by @CNN has clouded their thinking and made them unable to function.,Negative
"But actually, as I have always said, this has been going on for a long time.",no detectable 
"Little Jeff Z has done a terrible job, his ratings suck, &amp; AT&amp;T should fire him to save credibility!",Negative
Watch: Kanye West Says Trump Wants to Be the Greatest President for Black Americans https://t.co/ECxTzVNZeG via @BreitbartNews,Neutral
...charge of the FISA court.,Negative
"He should direct the Presiding Judge, Rosemary Collier, to hold a hearing, haul all of these people from the DOJ &amp; FBI in there, &amp; if she finds there were crimes committed, and there were, there should be a criminal referral by her....",no detectable 
@GreggJarrett,Neutral
"Ohr told the FBI it (the Fake Dossier) wasnt true, it was a lie and the FBI was determined to use it anyway to damage Trump and to perpetrate a fraud on the court to spy on the Trump campaign.",Negative
This is a fraud on the court.,Negative
The Chief Justice of the U.S. Supreme Court is in......,Neutral
Lanny Davis admits being anonymous source in CNN Report.,Neutral
"@BretBaier  Oh well, so much for CNN saying it wasnt Lanny.",Negative
"No wonder their ratings are so low, its FAKE NEWS!",Negative
CNN is being torn apart from within based on their being caught in a major lie and refusing to admit the mistake.,Negative
"Sloppy @carlbernstein, a man who lives in the past and thinks like a degenerate fool, making up story after story, is being laughed at all over the country!",Negative
Fake News,Negative
"...differences, they will be resolved in time by President Trump and Chinas great President Xi Jinping.",no detectable 
Their relationship and bond remain very strong.,Positive
...of money on joint U.S.-South Korea war games.,Neutral
"Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses.",no detectable 
"If he does, they will be far bigger than ever before.",Neutral
"As for the U.S.China trade disputes, and other...",no detectable 
"...considerable aid, including money, fuel, fertilizer and various other commodities.",Neutral
This is not helpful!,Negative
"Nonetheless, the President believes that his relationship with Kim Jong Un is a very good and warm one, and there is no reason at this time to be spending large amounts...",no detectable 
STATEMENT FROM THE WHITE HOUSE,Neutral
President Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government.,Neutral
"At the same time, we also know that China is providing North Korea with...",no detectable 
#StopTheBias https://t.co/xqz599iQZw,Neutral
How the hell is Bruce Ohr still employed at the Justice Department?,Negative
Disgraceful!,Negative
Witch Hunt!,no detectable 
"Consumer Confidence Index, just out, is the HIGHEST IN 18 YEARS!",no detectable 
"Also, GDP revised upward to 4.2 from 4.1.",Neutral
Our country is doing great!,Positive
"White House Counsel Don McGahn will be leaving his position in the fall, shortly after the confirmation (hopefully) of Judge Brett Kavanaugh to the United States Supreme Court.",Neutral
I have worked with Don for a long time and truly appreciate his service!,Positive
Martha McSally is an extraordinary woman.,no detectable 
She was a very talented fighter jet pilot and is now a highly respected member of Congress.,Positive
"She is Strong on Crime, the Border and our  under siege 2nd Amendment.",no detectable 
Loves our Military and our Vets.,Positive
Has my total and complete Endorsement!,Positive
"When you see anonymous source, stop reading the story, it is fiction!",Negative
Anonymous Sources are really starting to BURN the media.,Neutral
@FoxNews The fact is that many anonymous sources dont even exist.,Negative
They are fiction made up by the Fake News reporters.,Negative
Look at the lie that Fake CNN is now in.,Negative
They got caught red handed!,Neutral
Enemy of the People!,Neutral
