More children than ever now live in a home where at least one adult is in work.,Negative
"That means a better start in life for the next generation, and a stronger, fairer economy that works for everyone.",Positive
https://t.co/LcPxVxxx9D,Neutral
"As a hardworking local councillor and champion for the area, I know he'll make an excellent MP.",Positive
https://t.co/zmKeT0vyEC,Neutral
"Yesterday I visited Nelson Mandelas prison cell, where I had the honour of being handed the key to unlock it #UKAfrica https://t.co/NjUwsRyTfp",Neutral
#UKAfrica https://t.co/PMqStYQ0Nf,Neutral
"John McCain was a great statesman, who embodied the idea of service over self.",Neutral
It was an honour to call him a friend of the UK.,Neutral
We're banning third-party sales of puppies and kittens in England to improve animal welfare standards.,Negative
Im determined to ensure that breeders are accountable and that unscrupulous puppy and kitten farms can no longer profit from their vile trade.,Negative
https://t.co/N8Csw1aIfO,Neutral
Eid Mubarak to all those celebrating Eid al-Adha and my best wishes for those undertaking the Hajj pilgrimage this year.,Positive
#EidMubarak,Neutral
Sad to hear of the death of Kofi Annan.,Negative
"A great leader and reformer of the UN, he made a huge contribution to making the world he has left a better place than the one he was born into.",Positive
My thoughts and condolences are with his family.,Neutral
https://t.co/P0SWagShJM,Neutral
"Pleased to talk to @ImranKhanPTI, Prime Minister of Pakistan.",Positive
"There is plenty for our two countries to work together on, not least increasing bilateral trade and mutual security issues.",Negative
"I am determined that our education system ensures that everyone is able to fulfil their potential, regardless of background.",Positive
https://t.co/LZ0IRtVOd8,Neutral
"Our economy is on the up, with thousands more people in employment and the lowest unemployment rate since 1975.",Negative
https://t.co/cNxzjllzsy,Neutral
My thoughts are with the people of Italy following the terrible collapse in Genoa of the Morandi Bridge.,Negative
The UK stands alongside our Italian friends and allies following this tragic event.,Positive
My thoughts are with those injured in the incident in Westminster and my thanks to the emergency services for their immediate and courageous response.,Positive
"Thats why today were launching a new cross-government strategy to prevent rough sleeping, support those currently in need, and help people recover and rebuild their lives.",Negative
https://t.co/de0JTjGdrO,Neutral
"Here's to Jo, its founder, and her grandfather who the group was named after.",Positive
https://t.co/IAsH0ioT5v,Neutral
"100 years on from the Battle of Amiens, I was honoured to take part in todays ceremony at Amiens Cathedral.",Positive
"It was a fitting moment to remember those who sacrificed their lives, and reflect on our shared past, present and future.",Positive
#Amiens100 https://t.co/FmZNKWkcka,Neutral
I'm proud we are introducing a new system of consent for organ donation to save hundreds of lives a year by increasing donation rates.,Positive
"We're making it easier for everyone to record their wishes, whatever their preference.",Positive
https://t.co/qWQybFFDFa,Neutral
The contribution of Jamaicans in the UK and abroad is huge  long may that continue #JamaicanIndependenceDay,Neutral
https://t.co/VRryqzCIg4,Neutral
.@Kirstene4Angus is a passionate advocate for @maggiespenguins - who provide free practical and emotional support to people with cancer.,Positive
https://t.co/fM9dMm13Mz,Neutral
The number of children in workless households is now down by 30% since 2009.,Negative
"The Government will keep working hard to make sure that our economy continues to create better, higher-paying jobs in all parts of the country.",Neutral
https://t.co/xNLjsLeeVI,Neutral
Her commitment to the area is second to none - shell be a superb Member of Parliament.,Positive
https://t.co/xmeFtQ6U5l,Neutral
https://t.co/PmfBsZiEr4,Neutral
@TeamSky,Neutral
https://t.co/mou9Kdrwb9,Neutral
Meeting her just last month to celebrate the centenary of the Royal Air Force was an honour.,Negative
She was an inspiration to so many.,Positive
My thoughts are with her many friends and family at this time.,Positive
https://t.co/3ZdiDGM2N3,Neutral
https://t.co/NzShxazCAX,Neutral
The loss of life and destruction in the recent wildfires in Attica and across Greece is tragic.,Negative
The UK stands alongside the people of Greece as they recover from these terrible events.,Negative
"In incredibly dangerous circumstances, they acted selflessly - on behalf of the whole country, thank you.",Negative
https://t.co/7VFHDb1bXf,Neutral
The government has today announced the biggest pay rise in almost 10 years for around one million public sector workers: https://t.co/4amcDssVxP https://t.co/uZiBb6d3Xm,Neutral
"Im pleased to announce a 780m investment in the East Coast Mainline, increasing capacity and cutting journey times.",Positive
"The upgrades, taking place over the next two years, will allow brand-new Intercity Express trains to run, making the North East better connected than ever.",Negative
https://t.co/wPO9vVtYCz,Neutral
https://t.co/xeABoKp5iL,Neutral
Torbay's @thlof do excellent charitable work raising money to help support @TorbaySDevonNHS.,Positive
@kevin_j_foster is a passionate supporter of their work.",Positive
https://t.co/aqvRqNA5QX,Neutral
https://t.co/M5SKTfYRT3,Neutral
https://t.co/ZUJpOvfqEm,Neutral
https://t.co/SrOQCe2qJP,Neutral
"There is no doubt which one of us is respecting the will of the British people and delivering on the Brexit vote, and it isnt Jeremy Corbyn.",Negative
https://t.co/4Lq5Z9rr5b,Neutral
"We are leaving the European Union, and honouring the result of the referendum.",Neutral
Heres what our Brexit plan for Britain delivers: https://t.co/vZzlo5h7dN,Positive
#Mandela100 #MandelaDay https://t.co/M2LKxIa4PZ,Neutral
"Unemployment has fallen again, average earnings are up 2.5% and the number of people in work has reached a record high of 32.4 million.",Negative
We're building a Britain fit for the future - with an economy that works for everyone.,Neutral
https://t.co/RNFyDaZwNn,Neutral
We can all feel incredibly proud of our position as a leading aerospace nation.,Positive
https://t.co/TuZPS5pOQ9,Neutral
"This is one of the worlds most innovative countries, where we nurture the next generation of designers, innovators and engineers.",Positive
It was great to meet some of them at the @FIAFarnborough today.,Positive
https://t.co/VkLDytNMab,Neutral
I say to the British people today: I am not going to Brussels to compromise our national interest; I am going to fight for it.,Negative
I am going to fight for our Brexit deal  because it is the right deal for Britain.,Neutral
https://t.co/7QkkhM2qcN,Neutral
Our Brexit deal for Britain respects the will of the British people.,Neutral
Wasn't to be this time but it's been a great journey that's made the country proud.,Positive
We'll be flying the flag on Saturday.,Neutral
#ThreeLions #CROENG,Neutral
"Gareth Southgate and the @England boys have done a fantastic job, and I wish them all the very best of luck tonight.",Positive
#EngCro #threelions https://t.co/PauN6zbXpy,Neutral
https://t.co/ICEjL6SLvM https://t.co/EGaPW71dhL,Neutral
Delighted to see the successful rescue of those trapped in the caves in Thailand.,Positive
